country, 2011, 2012, 2013, 2014, 2015, 2016, 2017
UK, 7630000000, 8600000000, 963000000, 10830000000, 11700000000, 12520000000, 13270000000
Germany, 4570000000, 5050000000, 5650000000, 6220000000, 6590000000, 6940000000, 7290000000
France, 2490000000, 2640000000, 2800000000, 3050000000, 3260000000, 3460000000, 3650000000
Italy, 1440000000, 1520000000, 1650000000, 1830000000, 2050000000, 2280000000, 2510000000
Netherlands, 1370000000, 1480000000, 1600000000, 1720000000, 1840000000, 1950000000, 2050000000
Spain, 1150000000, 1140000000, 11500000000, 1240000000, 1360000000, 1470000000, 157000000
Sweden, 830000000, 910000000, 1010000000, 1100000000, 1180000000, 1250000000, 1310000000
Norway, 740000000, 790000000, 850000000, 910000000, 970000000, 1030000000, 1080000000
Denmark, 65000000, 73000000, 80000000, 86000000, 92000000, 99000000, 105000000
Finalnd, 28000000, 31000000, 35000000, 37000000, 39000000, 41000000, 42000000
Other, 235000000, 260000000, 291000000, 325000000, 353000000, 380000000, 405000000 
