ICMR 1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2014-2018 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used IMF 2013 average exchange rates in converting from local currency to GBP.Note: Postal revenues are for our 17 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,CAGR,YoY,,,,,,,,,,,,,,,,,,,,,
Telecoms,751.6682028,770,783,796,824,842,2.30%,2.10%,,,,,,,,,,,,,,,,,,,,,
Television,212,208,225,236,247,254,5.10%,3.10%,,,,,,,,,,,,,,,,,,,,,
Post,92.17992999,85,84,82,81,80,-1.60%,-0.60%,,,,,,,,,,,,,,,,,,,,,
Radio,27.8,26,26,27,28,28,2.30%,2.70%,,,,,,,,,,,,,,,,,,,,,
Total,1084,1090,1119,1142,1179,1205,2.50%,2.10%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications sector revenues: 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2014-2018 @ www.pwc.com/outlook for radio revenues (include advertising, license fees and satellite subscription services only), Wik Consult / Ofcom estimates for postal revenues, IHS / industry data / Ofcom for television and telecoms revenues (telecoms revenues refer to retail revenues). Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used IMF 2013 average exchange rates in converting from local currency to GBP.Note: Postal revenue data is not available for Nigeria ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telecoms,Television,Post,Radio,Total,,,,,,,,,,,,,,,,,,,,,,,,
CHN,106,21,1,1,£129,,,,,,,,,,,,,,,,,,,,,,,,
JPN,85,21,12,1,£118,,,,,,,,,,,,,,,,,,,,,,,,
USA,179,110,30,13,£332,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telecoms,Television,Post,Radio,Total,,,,,,,,,,,,,,,,,,,,,,,,
NGA,7,1,,0,8,,,,,,,,,,,,,,,,,,,,,,,,
IND,15,5,0,,20,,,,,,,,,,,,,,,,,,,,,,,,
