country, 2011, 2012, 2013, 2014, 2015, 2016, 2016, 2017
UK, 323000000, 835000000, 1586000000, 2538000000, 3680000000, 4784000000, 5885000000
Germany, 112000000, 208000000, 436000000, 851000000, 1361000000, 1991000000, 2787000000 
France, 87000000, 130000000 , 240000000, 431000000, 690000000, 1000000000, 1361000000 
Italy, 63000000, 104000000, 198000000, 366000000, 568000000, 733000000, 916000000 
Netherlands, 45000000, 78000000, 172000000, 307000000, 460000000, 598000000, 747000000
Sweden, 21000000, 57000000, 142000000, 238000000, 333000000, 416000000, 483000000  
Norway, 23000000, 80000000, 10900000, 183000000, 265000000, 339000000, 400000000 
Denmark, 26000000, 48000000, 105000000, 177000000, 247000000, 3390000000, 380000000 
Spain, 21000000, 35000000, 68000000, 128000000, 224000000, 370000000, 574000000 
Finland, 10000000, 20000000, 43000000, 77000000, 108000000, 132000000, 152000000 
Other, 50000000, 107000000, 491000000, 1092000000, 1262000000, 1377000000, 1499000000

