,"Time","Urban population (% of total)","Urban population",,"Year"
,-283953600000,"78.374",41381472,,"1961"
,-252417600000,"78.237",41661202,,"1962"
,-220881600000,"78.099",41900114,,"1963"
,-189345600000,"77.96",42098400,,"1964"
,-157723200000,"77.821",42294196,,"1965"
,-126187200000,"77.682",42452048,,"1966"
,-94651200000,"77.541",42603817,,"1967"
,-63115200000,"77.4",42733856,,"1968"
,-31492800000,"77.259",42833742,,"1969"
,43200000,"77.117",42925829,,"1970"
,31579200000,"77.03",43056861,,"1971"
,63115200000,"77.195",43295638,,"1972"
,94737600000,"77.358",43470962,,"1973"
,126273600000,"77.521",43590038,,"1974"
,157809600000,"77.683",43677888,,"1975"
,189345600000,"77.844",43757644,,"1976"
,220968000000,"78.005",43833733,,"1977"
,252504000000,"78.164",43925435,,"1978"
,284040000000,"78.323",44054299,,"1979"
,315576000000,"78.481",44195960,,"1980"
,347198400000,"78.588",44271630,,"1981"
,378734400000,"78.539",44228171,,"1982"
,410270400000,"78.489",44215089,,"1983"
,441806400000,"78.44",44257473,,"1984"
,473428800000,"78.39",44329755,,"1985"
,504964800000,"78.34",44404206,,"1986"
,536500800000,"78.29",44470325,,"1987"
,568036800000,"78.24",44540723,,"1988"
,599659200000,"78.19",44628280,,"1989"
,631195200000,"78.14",44733264,,"1990"
,662731200000,"78.112",44855736,,"1991"
,694267200000,"78.172",45011752,,"1992"
,725889600000,"78.232",45154426,,"1993"
,757425600000,"78.293",45304828,,"1994"
,788961600000,"78.353",45459651,,"1995"
,820497600000,"78.413",45610451,,"1996"
,852120000000,"78.472",45762480,,"1997"
,883656000000,"78.532",45931122,,"1998"
,915192000000,"78.591",46119137,,"1999"
,946728000000,"78.651",46319551,,"2000"
,978350400000,"78.751",46557334,,"2001"
,1009886400000,"79.047",46930583,,"2002"
,1041422400000,"79.339",47323791,,"2003"
,1072958400000,"79.629",47767769,,"2004"
,1104580800000,"79.915",48269624,,"2005"
,1136116800000,"80.199",48798541,,"2006"
,1167652800000,"80.479",49351705,,"2007"
,1199188800000,"80.757",49913475,,"2008"
,1230811200000,"81.031",50463084,,"2009"
,1262347200000,"81.302",51030310,,"2010"
,1293883200000,"81.57",51600299,,"2011"
,1325419200000,"81.834",52124728,,"2012"
,1357041600000,"82.092",52618579,,"2013"
